time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-08-15T23:59:36.124Z,0.1953,0.6787,0.8288,0.1109,-0.1882,0.106,1.85,20.79,-40.9826
2025-08-15T23:59:36.134Z,0.1713,0.5528,0.8617,0.0729,-0.1145,0.117,1.9322,20.7234,-40.7972
2025-08-15T23:59:36.144Z,0.1202,0.5053,0.7816,0.0456,-0.0446,0.1247,1.8212,20.6856,-41.111
2025-08-15T23:59:36.154Z,0.0896,0.5225,0.85,0.0073,-0.0249,0.118,1.6797,20.5618,-41.2108
2025-08-15T23:59:36.164Z,0.0444,0.5181,1.0122,-0.0385,-0.0679,0.0967,1.8536,20.4902,-41.1081
2025-08-15T23:59:36.174Z,0.0593,0.406,1.2313,-0.0817,-0.1283,0.0582,1.8301,20.5888,-41.2594
2025-08-15T23:59:36.184Z,0.0683,0.2533,1.3578,-0.1105,-0.1957,0.0216,1.7277,20.5995,-41.0297
2025-08-15T23:59:36.197Z,-0.1562,0.2119,1.7128,-0.1193,-0.2536,0.0061,1.4186,20.6405,-41.2769
2025-08-15T23:59:36.204Z,-0.1562,0.2119,1.7128,-0.0869,-0.2778,0.0087,1.4186,20.6405,-41.2769
2025-08-15T23:59:36.214Z,-0.2445,0.1309,1.7311,-0.0318,-0.2685,0.0228,1.3046,20.891,-41.1906
2025-08-15T23:59:36.227Z,-0.2756,-0.3395,1.3461,0.0348,-0.211,0.0529,1.3404,20.652,-40.9496
2025-08-15T23:59:36.234Z,-0.2756,-0.3395,1.3461,0.104,-0.1359,0.1127,1.3404,20.652,-40.9496
2025-08-15T23:59:36.247Z,-0.3057,-0.5075,0.8661,0.1745,-0.0538,0.1803,1.3239,20.5402,-41.2521
2025-08-15T23:59:36.254Z,-0.3057,-0.5075,0.8661,0.234,0.0157,0.241,1.3239,20.5402,-41.2521
2025-08-15T23:59:36.264Z,-0.3484,-0.5399,0.6167,0.2618,0.0689,0.2709,1.2902,20.3603,-41.5984
2025-08-15T23:59:36.276Z,-0.3757,-0.6118,0.1984,0.2728,0.1028,0.283,1.5656,20.0635,-41.5953
2025-08-15T23:59:36.283Z,-0.3757,-0.6118,0.1984,0.2764,0.1315,0.2872,1.5656,20.0635,-41.5953
2025-08-15T23:59:36.296Z,-0.3326,-0.8038,-0.517,0.2781,0.1857,0.2773,1.7235,19.879,-41.4883
2025-08-15T23:59:36.307Z,-0.4102,-0.9448,-0.7728,0.266,0.2451,0.2682,1.7942,19.8064,-41.6283
2025-08-15T23:59:36.314Z,-0.4102,-0.9448,-0.7728,0.2534,0.2912,0.2829,1.7942,19.8064,-41.6283
2025-08-15T23:59:36.326Z,-0.5963,-0.9294,-1.282,0.2592,0.3498,0.32,2.2608,19.3908,-41.6748
2025-08-15T23:59:36.334Z,-0.5963,-0.9294,-1.282,0.2663,0.4191,0.3506,2.2608,19.3908,-41.6748
2025-08-15T23:59:36.346Z,-0.7884,-1.0293,-1.7779,0.2522,0.4566,0.3673,2.5863,19.1143,-41.821
2025-08-15T23:59:36.356Z,-0.8884,-0.9303,-1.7388,0.2088,0.4251,0.378,2.7355,19.0467,-41.8346
2025-08-15T23:59:36.367Z,-1.0149,-0.7706,-1.6515,0.1395,0.3269,0.3944,2.9495,18.9544,-41.8893
2025-08-15T23:59:36.376Z,-1.1241,-0.6085,-1.5531,0.0567,0.1809,0.4108,3.2009,18.9934,-41.7055
2025-08-15T23:59:36.384Z,-1.1241,-0.6085,-1.5531,-0.0265,-0.0154,0.4067,3.2009,18.9934,-41.7055
2025-08-15T23:59:36.396Z,-1.168,-0.5442,-0.9514,-0.1015,-0.2455,0.3737,3.0425,18.9179,-41.7899
2025-08-15T23:59:36.406Z,-1.0479,-0.5552,-0.5685,-0.1579,-0.4343,0.323,3.0074,19.0521,-41.9015
2025-08-15T23:59:36.414Z,-1.0479,-0.5552,-0.5685,-0.1654,-0.5261,0.2701,3.0074,19.0521,-41.9015
2025-08-15T23:59:36.426Z,-0.5814,-0.7279,-0.1511,-0.1362,-0.5239,0.2202,2.8435,18.9761,-41.7341
2025-08-15T23:59:36.434Z,-0.5814,-0.7279,-0.1511,-0.0925,-0.4809,0.1626,2.8435,18.9761,-41.7341
2025-08-15T23:59:36.446Z,-0.6668,-0.9209,0.3122,-0.0626,-0.4194,0.1137,2.3411,19.1284,-41.9288
2025-08-15T23:59:36.457Z,-0.7661,-0.8356,0.5086,-0.0421,-0.3451,0.094,2.2961,19.0582,-42.1781
2025-08-15T23:59:36.466Z,-0.8631,-0.765,0.4546,-0.0185,-0.2179,0.1202,2.221,19.208,-42.0936
2025-08-15T23:59:36.476Z,-0.9395,-0.8401,0.3344,0.0112,-0.0752,0.1616,2.4064,19.0417,-42.1
2025-08-15T23:59:36.486Z,-1.0214,-0.9269,0.2591,0.032,0.0475,0.2137,2.3896,19.032,-42.1281
2025-08-15T23:59:36.496Z,-1.0939,-0.9142,0.0254,0.0471,0.1639,0.2736,2.332,19.0125,-42.0595
2025-08-15T23:59:36.505Z,-1.1039,-0.7883,-0.2075,0.0478,0.2589,0.3378,2.332,19.0125,-42.0595
2025-08-15T23:59:36.516Z,-1.016,-0.6472,-0.4311,0.0373,0.3393,0.3898,2.6716,18.8843,-41.9019
2025-08-15T23:59:36.525Z,-0.9525,-0.559,-0.6202,0.0164,0.3861,0.4118,2.6716,18.8843,-41.9019
2025-08-15T23:59:36.536Z,-0.9136,-0.4494,-0.7361,-0.0094,0.3924,0.4098,2.9116,18.859,-41.8186
2025-08-15T23:59:36.546Z,-0.9189,-0.2999,-0.851,-0.0393,0.3779,0.3895,3.1395,18.7191,-41.7752
2025-08-15T23:59:36.556Z,-0.9316,-0.1308,-0.8973,-0.0831,0.3472,0.3525,3.308,18.7521,-41.8722
2025-08-15T23:59:36.566Z,-0.8757,-0.026,-0.9138,-0.1267,0.2944,0.3193,3.5412,18.7526,-41.6172
2025-08-15T23:59:36.576Z,-0.8146,-0.0825,-1.0105,-0.1528,0.252,0.3011,3.5993,18.8881,-41.5487
2025-08-15T23:59:36.586Z,-0.77,-0.1652,-1.05,-0.1697,0.2143,0.288,3.8747,18.9629,-41.6115
2025-08-15T23:59:36.597Z,-0.801,-0.183,-1.0032,-0.1791,0.1698,0.2855,3.9972,19.0172,-41.5638
2025-08-15T23:59:36.605Z,-0.8444,-0.1228,-0.8977,-0.1776,0.1234,0.2902,4.1357,19.0056,-41.6214
2025-08-15T23:59:36.615Z,-0.7888,-0.0425,-0.7832,-0.1604,0.0887,0.2986,4.1739,18.9488,-41.5996
2025-08-15T23:59:36.626Z,-0.6892,-0.0345,-0.7868,-0.1291,0.0795,0.3061,4.2473,19.0129,-41.6443
2025-08-15T23:59:36.635Z,-0.6568,-0.0593,-0.7558,-0.0905,0.0837,0.3049,4.4243,19.1766,-41.3893
2025-08-15T23:59:36.646Z,-0.6671,-0.0421,-0.64,-0.0585,0.071,0.3,4.4647,19.1157,-41.2811
2025-08-15T23:59:36.656Z,-0.725,0.0535,-0.5392,-0.0389,0.0518,0.3024,4.4264,19.1617,-41.5776
2025-08-15T23:59:36.666Z,-0.7318,0.1889,-0.4543,-0.0357,0.041,0.3126,4.5988,19.0482,-41.2886
2025-08-15T23:59:36.675Z,-0.6777,0.2737,-0.4054,-0.0339,0.0437,0.3231,4.4606,19.0087,-41.571
2025-08-15T23:59:36.685Z,-0.6561,0.2988,-0.3725,-0.0262,0.0578,0.3342,4.5329,19.1118,-41.4568
2025-08-15T23:59:36.695Z,-0.7067,0.3279,-0.2725,-0.0159,0.0583,0.3378,4.64,18.9758,-41.5347
2025-08-15T23:59:36.705Z,-0.7435,0.3817,-0.1596,-0.0038,0.0551,0.3463,4.6872,19.0167,-41.3818
2025-08-15T23:59:36.715Z,-0.7323,0.4828,-0.0374,0.0163,0.0592,0.3531,4.726,19.1081,-41.4253
2025-08-15T23:59:36.725Z,-0.6062,0.5771,0.0395,0.051,0.0834,0.3553,4.7378,19.1659,-41.427
2025-08-15T23:59:36.735Z,-0.5542,0.5707,0.0451,0.095,0.1054,0.3491,4.7845,19.1861,-41.448
2025-08-15T23:59:36.745Z,-0.5858,0.5663,0.1394,0.1276,0.0896,0.3269,4.9463,19.0093,-41.5117
2025-08-15T23:59:36.755Z,-0.6416,0.6106,0.2381,0.1563,0.0301,0.2999,5.2411,18.9536,-41.5361
2025-08-15T23:59:36.765Z,-0.6853,0.6791,0.3224,0.1745,-0.0526,0.2721,5.2348,18.7903,-41.5699
2025-08-15T23:59:36.775Z,-0.6275,0.7106,0.4618,0.2033,-0.1437,0.2454,5.1547,18.9389,-41.5775
2025-08-15T23:59:36.785Z,-0.5233,0.6261,0.5379,0.2356,-0.2234,0.2135,5.0618,18.6599,-41.7895
2025-08-15T23:59:36.795Z,-0.451,0.4839,0.6508,0.2722,-0.3051,0.1745,5.0761,18.6032,-41.6886
2025-08-15T23:59:36.805Z,-0.3988,0.3767,0.761,0.2967,-0.3811,0.1289,4.9502,18.5929,-41.65
